Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
1354,PostgreSQL,
1354,Redis,
1355,Firebase,MongoDB
1355,,MySQL
1355,MongoDB,
1355,PostgreSQL,
1355,Redis,
1365,DynamoDB,DynamoDB
1365,,Elasticsearch
1365,,Microsoft SQL Server
1365,,Redis
1365,Elasticsearch,
1365,Microsoft SQL Server,
1365,MongoDB,
1365,Redis,
1373,Firebase,Firebase
1373,,Microsoft SQL Server
1373,,MongoDB
1373,,SQLite
1373,PostgreSQL,
1373,Redis,
1381,Firebase,Elasticsearch
1381,,Firebase
1381,,MongoDB
1381,,MySQL
1381,MongoDB,
1381,MySQL,
1389,Elasticsearch,Elasticsearch
1389,,Firebase
1389,,MySQL
1389,,Redis
1389,Firebase,
1389,MySQL,
1389,Redis,
1404,MariaDB,Microsoft SQL Server
1404,,MySQL
1404,Microsoft SQL Server,
1404,MongoDB,
1404,MySQL,
1404,Oracle,
1404,PostgreSQL,
1412,Microsoft SQL Server,Microsoft SQL Server
1416,DynamoDB,DynamoDB
1416,,Firebase
1416,Firebase,
1416,MongoDB,
1417,DynamoDB,Elasticsearch
1417,,PostgreSQL
1417,,Redis
1417,Elasticsearch,
1417,MongoDB,
1417,PostgreSQL,
1417,Redis,
1421,Cassandra,DynamoDB
1421,,Elasticsearch
1421,,Firebase
1421,,Microsoft SQL Server
1421,,MongoDB
1421,,MySQL
1421,,PostgreSQL
1421,,Redis
1421,,SQLite
1421,DynamoDB,
1421,Elasticsearch,
1421,Microsoft SQL Server,
1421,MongoDB,
1421,PostgreSQL,
1421,Redis,
1421,SQLite,
1454,Microsoft SQL Server,Microsoft SQL Server
1454,,MongoDB
1454,PostgreSQL,
1464,Microsoft SQL Server,Microsoft SQL Server
1464,,MySQL
1464,,PostgreSQL
1464,,Redis
1464,,SQLite
1464,Redis,
1464,SQLite,
1467,Cassandra,Cassandra
1467,,DynamoDB
1467,,Elasticsearch
1467,,MongoDB
1467,,MySQL
1467,,PostgreSQL
1467,,Redis
1467,DynamoDB,
1467,Elasticsearch,
1467,MySQL,
