,Respondent,PlatformDesireNextYear,PlatformWorkedWith
2265,965,Kubernetes,Microsoft Azure
2266,965,,Windows
2267,965,Microsoft Azure,
2269,965,Windows,
2271,980,AWS,AWS
2272,980,,Docker
2273,980,,IBM Cloud or Watson
2274,980,,Linux
2275,980,,MacOS
2276,980,,Raspberry Pi
2277,980,,Windows
2278,980,Docker,
2285,980,Linux,
2292,980,MacOS,
2299,980,Raspberry Pi,
2306,986,Android,AWS
2307,986,,Android
2308,986,,Arduino
2309,986,,Linux
2310,986,,MacOS
2311,986,,Raspberry Pi
2312,986,,Windows
2313,986,,WordPress
2314,986,,iOS
2315,986,Arduino,
2324,986,AWS,
2333,986,Docker,
2342,986,Linux,
2351,986,Raspberry Pi,
2360,986,Windows,
2369,986,WordPress,
2378,1013,Android,AWS
2379,1013,,Android
2380,1013,,Arduino
2381,1013,,Docker
2382,1013,,Heroku
2383,1013,,Kubernetes
2384,1013,,Linux
2385,1013,,MacOS
2386,1013,,Windows
2387,1013,,WordPress
2388,1013,,iOS
2389,1013,AWS,
2400,1013,Docker,
2411,1013,Heroku,
2422,1013,Kubernetes,
2433,1013,Linux,
2444,1013,MacOS,
2455,1026,Android,Android
2456,1026,,Linux
2457,1026,,Raspberry Pi
2458,1026,,Windows
2459,1026,Arduino,
2463,1026,Docker,
2467,1026,Linux,
2471,1026,Raspberry Pi,
2475,1035,AWS,AWS
2476,1035,,Docker
2477,1035,,MacOS
2478,1035,Google Cloud Platform,
2481,1035,Heroku,
2484,1035,iOS,
2487,1035,Kubernetes,
2490,1035,MacOS,
2493,1045,AWS,Microsoft Azure
2494,1045,,WordPress
2495,1045,Docker,
2497,1045,Google Cloud Platform,
2499,1045,Kubernetes,
2501,1045,Linux,
2503,1045,Microsoft Azure,
2505,1045,WordPress,
2507,1051,AWS,AWS
2508,1051,,Android
2509,1051,,Linux
2510,1051,,Windows
2511,1051,,WordPress
2512,1051,Linux,
2517,1051,Windows,
2522,1053,Docker,Microsoft Azure
2523,1053,,Windows
2524,1053,Microsoft Azure,
2526,1053,Windows,
2528,1066,AWS,Arduino
2529,1066,,Google Cloud Platform
2530,1066,,Heroku
2531,1066,,Microsoft Azure
2532,1066,,Windows
2533,1066,Docker,
2538,1066,Google Cloud Platform,
2543,1066,Kubernetes,
2548,1077,Android,AWS
2549,1077,AWS,
2550,1077,Docker,
2551,1077,Google Cloud Platform,
2552,1077,Microsoft Azure,
2553,1098,Arduino,AWS
2554,1098,,Android
2555,1098,,Arduino
2556,1098,,Docker
2557,1098,,Google Cloud Platform
2558,1098,,Heroku
2559,1098,,Kubernetes
2560,1098,,Linux
2561,1098,,MacOS
2562,1098,,Slack Apps and Integrations
2563,1098,,Windows
2564,1098,AWS,
2575,1098,Docker,
2586,1098,Google Cloud Platform,
2597,1098,Heroku,
2608,1098,IBM Cloud or Watson,
2619,1098,Kubernetes,
2630,1098,Linux,
2641,1098,MacOS,
2652,1098,Microsoft Azure,
2663,1098,Slack Apps and Integrations,
2674,1098,Windows,
2685,1118,Docker,Windows
2686,1118,MacOS,
2687,1118,Microsoft Azure,
2688,1121,AWS,AWS
2689,1121,,Docker
2690,1121,,Windows
2691,1121,Docker,
2694,1121,Microsoft Azure,
2697,1121,Windows,
2700,1128,AWS,AWS
2701,1128,,Android
2702,1128,,Docker
2703,1128,,IBM Cloud or Watson
2704,1128,,Linux
2705,1128,,MacOS
2706,1128,,Windows
2707,1128,,WordPress
